epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4577.2,0.74346,1.84479,1.19223,0.55672,0.336,0.2133,0.15385,0.79476,2.16792,1.15374,0.000302337,0.000302337,0.000302337
2,9203.6,0.52733,1.00553,1.01799,0.44238,0.35014,0.19826,0.1158,1.13603,2.16546,1.44167,0.000593351,0.000593351,0.000593351
3,13738.1,0.48974,0.84081,1.00001,0.24379,0.48907,0.27197,0.20213,0.9242,1.97176,1.34734,0.000872367,0.000872367,0.000872367
4,18220.7,0.4582,0.77127,0.98446,0.41626,0.31845,0.17083,0.11989,1.08585,1.89957,1.49023,0.000855005,0.000855005,0.000855005
5,22698.7,0.43153,0.74012,0.97414,0.5659,0.4942,0.33573,0.24301,0.99245,1.97227,1.31162,0.000837007,0.000837007,0.000837007
6,27115.6,0.40526,0.69728,0.96481,0.49152,0.43949,0.37012,0.28505,0.9913,2.02081,1.32739,0.000819009,0.000819009,0.000819009
7,31528.1,0.38949,0.67926,0.95984,0.25624,0.5425,0.28451,0.194,0.98123,2.05866,1.4144,0.000801011,0.000801011,0.000801011
8,35947.8,0.37522,0.64702,0.95167,0.24853,0.56804,0.2828,0.19221,0.96696,1.9615,1.2527,0.000783013,0.000783013,0.000783013
9,40525.9,0.36591,0.6365,0.94608,0.57278,0.49229,0.30019,0.20541,0.91517,2.14421,1.25289,0.000765014,0.000765014,0.000765014
10,45080.8,0.34636,0.62344,0.93748,0.18777,0.48492,0.23066,0.17381,0.97466,2.16455,1.3537,0.000747016,0.000747016,0.000747016
11,49551.2,0.33807,0.60946,0.93339,0.41528,0.39206,0.28228,0.17939,1.1969,2.03525,1.489,0.000729018,0.000729018,0.000729018
12,54082.7,0.33222,0.59808,0.93164,0.22373,0.44435,0.29379,0.18194,0.94344,2.06104,1.24837,0.00071102,0.00071102,0.00071102
13,4367.4,0.32911,0.58568,0.92774,0.28052,0.53774,0.25925,0.16494,1.1038,2.54385,1.56373,0.000693022,0.000693022,0.000693022
14,8751.92,0.3079,0.56439,0.91525,0.50525,0.54517,0.39565,0.21307,0.97437,2.00929,1.30841,0.000675023,0.000675023,0.000675023
15,13121.9,0.31161,0.56328,0.92035,0.39854,0.59427,0.27584,0.18213,1.27932,2.36705,1.70033,0.000657025,0.000657025,0.000657025
16,17491.9,0.30429,0.55536,0.91554,0.21478,0.61421,0.265,0.1723,1.03938,2.65432,1.4439,0.000639027,0.000639027,0.000639027
17,21861.9,0.2911,0.54437,0.91,0.45743,0.42752,0.37723,0.18763,1.04005,2.09613,1.32588,0.000621029,0.000621029,0.000621029
18,26361.7,0.28675,0.54198,0.91229,0.25223,0.52821,0.31458,0.211,0.97304,2.14456,1.43681,0.000603031,0.000603031,0.000603031
19,30732.9,0.27806,0.52866,0.91043,0.67715,0.48251,0.36457,0.21025,1.14599,2.08991,1.58123,0.000585032,0.000585032,0.000585032
20,35114.3,0.26914,0.50973,0.90492,0.35715,0.56727,0.41763,0.21958,1.19074,2.21269,1.53923,0.000567034,0.000567034,0.000567034
21,39484.8,0.27168,0.51604,0.90524,0.64864,0.49453,0.4187,0.20177,1.17605,2.39905,1.56481,0.000549036,0.000549036,0.000549036
22,43873.8,0.25857,0.50001,0.8999,0.35074,0.52224,0.39583,0.2041,1.15501,2.24421,1.58401,0.000531038,0.000531038,0.000531038
